Name,Location,Key Words,Employees,URL,What they do,TechStack
CheckRisk,Bath,Financial Risk,5,https://check-risk.com/,https://check-risk.com/services/,"R,GIT, SQL,Bloomberg"
sparx,Exeter,Education Technology,5,https://www.sparx.co.uk/,https://www.sparx.co.uk/our-approach,"R,Python"
fresh8gaming,Bristol,Gaming advertisement,,http://fresh8gaming.com/,,"Go,Vue.js,Google Cloud,Python"
blackswandata,Bristol,Social Prediction,,https://blackswan.com/,https://blackswan.com/products/trendscope/,"Python, GIT, SQL, NoSQL"
Ripjar,Cheltenham,Threat Detection,,https://ripjar.com,https://ripjar.com/torch/,"Python,Keras,DeepLearning"
RAC,Bristol,Insurance pricing,,,,
Polecat,Bristol,Reputational risk trends,,http://www.polecat.com/,,
Jean Golding Institute,Bristol,Data Science / Research,,http://bristol.ac.uk/golding/,,
cookpad,Bristol,cooking community,,https://cookpad.workable.com/,https://cookpad.com/uk?via=jp,"Python,Keras,DeepLearning"
Mango Solutions,Chippenham,Data Science Consultancy,,https://www.mango-solutions.com/,https://www.mango-solutions.com/data-science/,"R, Python"
Lloyds Banking Group,Bristol,"Banking, Risk, Credit",,,,
Elsevier,Oxford,Publishing,,https://www.elsevier.com/about/careers,,"SQL, ETL, JIRA"
Euclidata,Bristol,Analytics data processing,10,https://www.elucidata.co.uk/,,"python, SQL"
Tessella,Oxford,evidence-based decision making,,https://tessella.com/,https://tessella.com/analytics-insight/,
Toumetis,Bristol,Predictive analytics IOT,,https://toumetis.com/,https://toumetis.com/cascadence/,
Capgemini,Bristol,Insights & Data Consulting,,https://www.capgemini.com/insights-data/,,
JUST EAT,Bristol,evidence-based decision making food logistics,,https://careers.just-eat.com/departments/data-and-ai,https://www.justeatplc.com/about-us/our-business,"Python, SQL, NoSQL, BigQuery, Spark"
The Filter,Bath,Data driven customer engagement,,https://www.thefilter.com/open-positions/data-scientist/,https://www.thefilter.com/#section-Home,"Scala, Spark, Python, R, Spark"
Hargreaves Lansdown,Bristol,Finance Digital marketing,,http://www.hargreaveslansdownjobs.co.uk/,,"SQL, QlikView, Python, R"
OnCorps,Bristol,"Behavioural science, ML applied to Sales",,https://www.oncorps.io/,https://www.oncorps.io/adaptive-solutions,"R, Python, SQL"
National Trust,Swindon,Organisational performance,,https://www.nationaltrustjobs.org.uk/find-your-place/,,
OVO Energy,Bristol / London,Energy IoT,,https://www.ovoenergy.com/careers,https://www.ovoenergy.com/,"SQL, Python, Scala"
Met Office Informatics Lab,Exeter,,,,,
